Logical Processors,Start Time,End Time,Execution Time (ms),Depth,Best Move,New FEN string
12,2024-05-16T19:53:57.8791389,2024-05-16T19:54:00.4555962,2576,6,1222,rnbqkbnr/pppppppp/8/8/8/2P5/PP1PPPPP/RNBQKBNR b
12,2024-05-16T19:54:21.0847179,2024-05-16T19:54:23.723099,2638,7,1222,rnbqkbnr/pppppppp/8/8/8/2P5/PP1PPPPP/RNBQKBNR b
12,2024-05-16T21:24:24.5022213,2024-05-16T21:24:27.1440154,2641,7,1222,rnbqkbnr/pppppppp/8/8/8/2P5/PP1PPPPP/RNBQKBNR b
12,2024-05-16T21:40:01.3792141,2024-05-16T21:40:04.4131897,3033,7,1222,rnbqkbnr/pppppppp/8/8/8/2P5/PP1PPPPP/RNBQKBNR b
12,2024-05-16T21:40:23.8026144,2024-05-16T21:40:27.1310316,3328,7,1202,rnbqkbnr/pppppppp/8/8/8/2P5/PP1PPPPP/RN1QKBNR b
12,2024-05-16T21:53:29.3586563,2024-05-16T21:53:32.1072873,2748,7,1222,rnbqkbnr/pppppppp/8/8/8/2P5/PP1PPPPP/RNBQKBNR b
12,2024-05-16T21:53:46.5126418,2024-05-16T21:53:49.8525302,3339,7,1202,rnbqkbnr/pppppppp/8/8/8/2P5/PP1PPPPP/RN1QKBNR b
12,2024-05-16T21:56:51.9391448,2024-05-16T21:56:54.5541707,2615,7,1222,rnbqkbnr/pppppppp/8/8/8/2P5/PP1PPPPP/RNBQKBNR b
12,2024-05-16T21:57:01.3671252,2024-05-16T21:57:04.7164276,3349,7,1202,rnbqkbnr/pppppppp/8/8/8/2P5/PP1PPPPP/RN1QKBNR b
